id,title,url,curator,Notes/comments/questions,Map territory,Close to,logo image url,homepage image url,description,key concepts,methods,locations,start,end,main sector,sector 2,sector 3 ,main activity,activity 2 ,activity 3 ,size,learning resources,connections,key people,theory of change,,,,,status
,frontmatter,frontmatter,frontmatter,❌,❌,❌,frontmatter,frontmatter,body,body,body,frontmatter,frontmatter,frontmatter,frontmatter,frontmatter,frontmatter,frontmatter,frontmatter,frontmatter,frontmatter,body - H2,body - H2,body - H2,body - H2,,,,,❌
automatically generated,name of organisation,Home page,Put your name,Flag what's interesting to you or any issues. What's your gut reaction about the org?,Where would this organisation fit on the map of paradigmatic change agents?,optional,Save here and add *raw* link below,Screenshot of homepage. Save here and link below,1-3 paras (approx.) about who they are and what they do. Copy & paste from website + include link,"""tag"" key concepts","frameworks, methods, approaches, key influences. * denotes own framework/methodology ","[city], country; [city2], country2 etc.",year founded,year ended. put present if ongoing ...,See Sectors tab,optional,optional,See Activities tab,optional,optional,team size,links to interesting resources,"e.g. partners, funders, etc.","name, role",notes on their theory of change,problem - what's wrong? what problem/issue are they focusing on?,diagnosis - what's the root/cause of the problem?,solution - what's needed?,vision - what do they aspire to?,check mark if all essential fields complete
alef-trust,Alef Trust,https://www.aleftrust.org/,Danielle,,Alternative Education,,https://drive.google.com/file/d/1Cr2vaaHTUhzhyWFENBqhBWqESMGv4y5D/view?usp=drive_link,https://drive.google.com/file/d/19ijKAEzTpZJVYYIpap3GpfVnzjr-7j6_/view?usp=drive_link,"""Alef Trust is a global leader in transformative education and training in consciousness, transpersonal and spiritual psychology.​""

https://www.aleftrust.org/

""The Alef Trust - https://www.aleftrust.org/ - is a global leader in transformative education and training in the areas consciousness, transpersonal and spiritual psychology.  Our validated/accredited online postgraduate programmes https://www.aleftrust.org/academic-learning/ include Master’s (MSc), Certificates, Diploma,  and PhD as well as Open Learning routes https://www.aleftrust.org/personal-development/ for those who want to study for personal enrichment. We facilitate many of our educational programmes online, providing 1-to-1 virtual tuition and guidance. 

Students from across all our programmes have the opportunity to participate in a dynamic international learning community, in which mind, body and spirit are equally honoured.

The MSc operates through our partnership with Liverpool John Moores University (LJMU), UK. The programme is validated/accredited by LJMU, meaning that the university ensures the quality of the MSc.

 The MSc is further enhanced by a partnership of the Alef Trust with the Scientific and Medical Network (SMN), UK, a worldwide professional community for open-minded, rigorous and evidence-based enquiry into themes bridging science, spirituality and consciousness. Students become members of the network for the duration of their studies and have access to the network’s newsletter and its unique audio-visual lecture archive featuring many inspiring presentations by new paradigm scientists and scholars. ""

https://www.linkedin.com/school/alef-trust/about/","transformative education
transpersonal psychology
consciouness
somatic practices",,United Kingdom,2011,present,Education & Learning,,,Education & Training,,,21-50,Nurturing the Fields of Change report: https://www.aleftrust.org/publications/nurturing-the-fields-of-change-report/ ,,,,,,,,✅
ananda-kalyani,Ananda Kalyani,https://anandakalyani.org/,Catherine,Chose Integral for map territory as their events are quite mindfulness and inner development / spiritual practice-y but they also have ecovillage elements. They describe themselves as an Integrated Rural Development project. ecovillage / IC in Portugal (also recipients of Erasmus+ grants...),Integral,,https://drive.google.com/file/d/1QVvRcyDwy7NxtRdENOKJh5D6VG-kAW22/view?usp=drive_link,https://drive.google.com/file/d/1l4mnmPPclYW3XtxkGkRRPWS2c0IFLUf8/view?usp=drive_link,"""Ananda Kalyani is a pioneering Integrated Rural Development (IRD) project of Ananda Marga dedicated to spirituality, local development and holistic regeneration, encompassing environmental, economic, and social aspects. Our aim is to serve as a model and educational hub for sustainable and regenerative living in the 21st century.

Nestled in the heart of Portugal, near the Serra da Estrela Natural Reserve, Ananda Kalyani has been transformed from a lush, abandoned valley into a vibrant, habitable space over the past few years. [...]

Our property spans 50 hectares, featuring wild forests, a picturesque river, scattered ruins, small springs, and wild fruit trees, and 11 hectares of certified organic agricultural land. [...]

In 2010, we set out to find land in Serra da Estrela to build and establish an Ananda Marga Master Unit in Portugal. The dream was to create a model integrated development project and blissful community for collective spiritual practice, self-realization and service to all beings. That dream is what we now call Ananda Kalyani. Our community has grown over the past 12 years from a small group of visionaries and an overgrown and desolate land into a recognized Master Unit, GEN European ecovillage and ERASMUS+ Partner. We host youth exchanges, training courses, events, workshops, and retreats, and have formed lasting connections with a global Ananda Kalyani family.""

https://anandakalyani.org/about/ ",spiritual practice; regenerative living; self-realization; service to all beings; community building; deep ecology; social activism; local economy; conscious lifestyle; personal development/self-development,Neohumanism,"Serra da Estrela, Portugal",2010,present,"Environment, Food & Water",Governance & Community,,Community Spaces,Events & Retreats,,11-20,,,,"They take a Neohumanistic approach, see https://neohumanisteducation.org/resources/articles/what-is-neohumanism/ which is linked from their website. They seek ""regeneration on multiple fronts: spiritual, cultural, environmental, political, social, and economic"".",,,,"- Conscious all-round sustainability – social, economic and environmental. - Living and learning in harmony with nature. 
- Individuals realising their full inner potential and outward actions.",✅
art-monastery-project,Art Monastery Project,https://www.artmonastery.org/,Catherine,"integrating art, earth and spirituality is their thing. ",Spiritual & Contemplative Traditions,Sacred & Ritual,https://drive.google.com/file/d/1vzqoW2ffd2GU-sScdvF_jDW6pbPl6TN2/view?usp=drive_link,https://drive.google.com/file/d/1AmFjDfdjtwMgJBlcOOqmRon0iiCLtjio/view?usp=drive_link,"""The Art Monastery is dedicated to cultivating personal awakening and cultural transformation through artmaking, spiritual practice, and reciprocity with the earth.

WHO
We are artists who meditate and meditators who make art. We aim to live close to the Earth in order to unlearn the oppressive systems of the overculture and cultivate a viable alternative for future generations. 

OUR STORY
The Art Monastery began in 2007 in a series of historic monasteries across Italy as a secular non-profit arts organization. Ever since, we have hosted visiting artists, offered cultural events for the public, and applied the monastic principles of discipline, contemplation, and sustainability to our creative process. In 2016 we moved our operations to a seven-acre farm in Vermont (pictured above). After seven years in Italy, seven years in Vermont, three years in Hawai’i (video below), we are now located in San Francisco. We offer online programs and in-person retreats in various locations, including Green Gulch Farm, Tassajara Zen Mountain Center, and the Berkeley Alembic. [...]

OUR MISSION
The Art Monastery is a radical experiment that bridges creative and contemplative practices. Through avant garde monasticism, we take up new and old ways of artmaking to create a social ecology defined by heart-centered, body-positive, justice-seeking values.  In this way, we balance the art element of our mission (intuition, activism, and re-wilding) with the monastery element (structure and schedule, personal growth, and ancient traditions). We support each other in our own journeys of artmaking, spiritual practice and reciprocity with the earth.""
https://www.artmonastery.org/about 

",personal awakening; cultural transformation; spiritual practice; creative practice; contemplative practice,Buddhism; concept of reciprocity with the Earth inspired by Robin Wall Kimmerer,"San Francisco, USA",2007,present,Arts & Culture,Spirituality & Religion,,Events & Retreats,,,4-10,"- Innertopia: Self-empowerment Workbook (available in English, Croatian, Dutch, French, German, Hungarian, Italian, Portuguese, Spanish, Swedish and Ukrainian): https://www.artmonastery.org/innertopia-workbook 
- Live Your Dream: A Workbook to Change your Life: https://www.artmonastery.org/live-your-dream-workbook 
- Empowerment: A Guide for Facilitators: https://www.artmonastery.org/hosting-empowerment-the-book ",,,,,,,"""We are dedicated to the liberation of all beings.

We see today’s art as the seeds of tomorrow’s culture, to build a world where 

- art guides our species back into balanced relationship our more-than-human family, 
- there is truly equality and justice for all beings, 
- we rebalance masculine and feminine energies, 
- we heal the wounds of ancestral trauma to overcome greed, aggression and confusion, and 
- we align with the natural cycles of the Earth.""
https://www.artmonastery.org/about ",✅
awake-academy,Awake Academy,https://www.awakeacademy.org/,Catherine,7 - not much stuff on there although they talk about inner change/mindfulness for social action. The few courses available are on the inner work side,Personal Healing,Spiritual & Contemplative Traditions,https://drive.google.com/file/d/1i5xQH32ENdV_YpGBS9w-F9YOALj-r1ip/view?usp=drive_link,https://drive.google.com/file/d/1cwqmSIUo4AbqZztQjScZdAHov1DUECAq/view?usp=drive_link,"""A resource of film-based courses and tools grounded in mindfulness, lucid dreaming, shadow integration, compassion, mindful activism, sustainability and all things that help wake up the mind.

Our aim is to inspire mindful change and to help the world wake up collectively.

We believe that global change can only begin through a change in our own minds. We hope to present a resource that can help support inner change. To change your mind is to change the world.

We welcome the shift from the old paradigm of competition to a new one of cooperation, therefore we invite other organizations, individuals and communities to join us on the Awake Academy journey!""
https://www.awakeacademy.org/about/ ",mindful activism; shadow work; collective awakening; inner change,,Online,not-found,present,Spirituality & Religion,,,Education & Training,,,4-10,"Some of their free resources include: 
- Kindfulness 7-day Online Course: https://www.awakeacademy.org/course/free-kindfulness/https://www.awakeacademy.org/course/free-kindfulness/ 
- 'Dropping the Mask of Shame' shadow integration exercise: https://www.awakeacademy.org/dropping-the-mask-of-shame-exercise/ ",,,,,,,,✅
barrett-academy-for-the-advancement-of-human-values,Barrett Academy for the Advancement of Human Values,https://www.barrettacademy.com/,Catherine,3 - evolution of consciousness etc for cultural and societal transformation. ,Integral,Inner Development,https://drive.google.com/file/d/1bwUscRx1dlGK4TqVLIyoeO3_CEsGLw1f/view?usp=drive_link,https://drive.google.com/file/d/1JgmSc3Copfkc5eosbHsO_067kr7Vz1nJ/view?usp=drive_link,"""Based in London, The Barrett Academy is an international think-tank which seeks to provide evidence-based practical advice on the evolution of human consciousness.

Origin of the Academy
The Barrett Academy was created by Richard Barrett in 2018 to give a broader focus to the mission of the Barrett Values Centre®.

Purpose of the Academy
The purpose of the The Barrett Academy is to discover, incubate and develop ideas, concepts and practices that support the evolution of human consciousness.

Services of the Academy
The Barrett Academy offers the following services:

- The development of workshops and trainings which support the evolution of human consciousness at an individual and collective level.‍‍
- Support to international agencies, communities and nations to develop programs and policies to support the evolution of human consciousness.
‍- Collaboration with research institutes and agencies that are working on practical approaches and policies to support the evolution of individual and collective human consciousness.
‍- Individual and collective mentoring in the Ego-Soul Dynamics of psychological development.""

https://www.barrettacademy.com/about-2020/barrett-academy ",evolution of consciousness; cultural transformation; values-driven,*The Barrett Model: https://www.barrettacademy.com/about-2020/the-barrett-model ,"London, UK",2018,present,Spirituality & Religion,Governance & Community,,Education & Training,Consulting & Advisory,Research,,Resource hub: https://www.barrettacademy.com/article-pages/articles ,,,,,,,,✅
be-the-earth-foundation,Be the Earth Foundation,https://www.betheearth.foundation/,Catherine,See their portfolio of investments for an idea of the projects they support: https://www.betheearth.foundation/investments  ,Regenerative Alternatives,,https://drive.google.com/file/d/1Do8zqqGIf0Imv6_LKpypiVQX5WToPyWS/view?usp=drive_link,https://drive.google.com/file/d/1ny_SzRrNh532-vWkRcr5aLZLshs98_6r/view?usp=drive_link,"""Be The Earth is a UK based foundation that combines impact investing and philanthropy for a world that nurtures all beings. Committed to living in harmony with Earth, BTE entrusts all of its capital to people, programmes and places that are creating resilient solutions for our regenerative future, with a particular focus on food systems. 

Based on the belief that a paradigm shift is needed, Be The Earth supports initiatives that are promoting a mindset of collaboration and abundance, and refuting the exploitation that is driving ecological collapse.

Working with a system of trust-based relationships that moves away from colonialist and bureaucratic models, Be The Earth focuses on strengthening relationships of co-responsibility and interdependence. Using a circular financing model, all profits are reinvested or allocated to philanthropic partnerships and to leveraging the vital non-financial resources found within our network of key collaborators: farmers, activists, women, entrepreneurs, indigenous people and funders.""

https://www.betheearth.foundation/ ",resilience; regenerative future; paradigm shift; mindset of collaboration and abundance,systems thinking; feminine governance principles,UK; Brazil; South Africa,2020,present,"Environment, Food & Water",Health & Wellbeing,Governance & Community,Funding,,,4-10,,Advaya is in their portfolio of investments: https://www.betheearth.foundation/investments ,,See their 2022 Strategy here: https://www.betheearth.foundation/strategy ,- Life on Earth is currently unsustainable - wellbeing of people and planet is threatened,- Capitalist system which benefits the few at the expense of the whole and prioritises short-term interests,"- ""We need to grow alternative and diverse economies that reduce dependency, monoculture, centralisation and global risks which threaten the future lives of all."" 
- Integrating feminine principles such as care, solidarity, love and intuition into ways of living and working

https://www.betheearth.foundation/strategy ",,✅
beautiful-trouble,Beautiful Trouble,https://beautifultrouble.org/,Catherine,,Critique of Power,,https://drive.google.com/file/d/1Mo070--rxT967kKZ86nEXMoeFKAgZLI8/view?usp=drive_link,https://drive.google.com/file/d/1ENal-dyTNIJghouddxj0Fd1JK5pLhccO/view?usp=drive_link,"""Beautiful Trouble is… 
A book, strategy card deck, online toolbox and creative campaign incubator.
An international network of artist-activist-trainers helping grassroots movements become more creative and effective. [...]

We believe in people power and the game-changing role that creativity, humor, joy, and mischief can play in the struggle for a better world. We practice shared leadership, modified consensus-based decision making, anti-oppression politics, and international and intersectional solidarity. [...]

We are a global network of organizers, artists, trainers, and writers who form the community of praxis called Beautiful Trouble. [...]

We equip social movements with an ever-growing suite of strategic tools and training to help grassroots movements be more creative, effective, and irresistible.""
https://beautifultrouble.org/about ",,,Denmark; International,2010,present,Justice & Restoration,Governance & Community,,Education & Training,Convening & Coordination,Funding,51-100,"Online Toolbox of Stories, Tactics, Principles, Theories and Methodologies for activism and social movements: https://beautifultrouble.org/toolbox/ ",,,,,,,,✅
bio-leadership-project,Bio-Leadership Project,https://www.bio-leadership.org/,Danielle,"leadership consultanting, fellowships, and projects- not sure where it fit on the map",,,https://drive.google.com/file/d/1pTIN2m4Uis8OzRguL1faQgxigAFG_yyG/view?usp=drive_link,https://drive.google.com/file/d/1WL9CVOmjZxe0lp5257NUVLDjA0B2pmAM/view?usp=drive_link,"“Leadership defined by growth, winner-takes-all competition, consumption and separation is a root of many of the problems we see in the world.
But a new story of leadership is growing, working with the rules of life: cycles, connection, regeneration, reciprocity and love.
Our vision is to help a global ecosystem of people to grow this new story all over the world.

Five kinds of Bio-Leadership story are redefining human progress. Our work is about helping these stories connect up and grow.

-New forms of purpose and progress connected to nature.
-New organisational forms that work like nature.
-New ways of working as ecosystems, inspired by nature.
-New, regenerative models of organisation and society.
-New cultures that reconnect to nature and the web of life.

To grow new forms of leadership, we need to grow new forms of knowledge. 
To navigate complex and urgent times, we need to cultivate human capacities for resilience, connection, adaptability, systemic awareness, and care for things greater than ourselves. 
Bio-Leadership is about working with nature to grow these qualities as individuals, communities, businesses and society.
We do this by working with nature to support three forms of knowledge:

-Nature-Based Thinking: This is about understanding and working with practical and organisational ideas inspired by nature, such as circular models, regenerative models and new organisational and economic models.

- Nature-Based Being:  This is about working with qualities that grow when we take the time to stop, notice and work with nature’s patterns. It is about developing resilience, awareness, connection, and an understanding of how life flows.

- Collective Movement: This is knowledge that is needed to help us learn as whole systems and connected communities. It is knowledge related to organisational learning, cultural change and deep personal and social transformation.”

https://www.bio-leadership.org/about-us
","leadership, cycles, love, connection, regeneration, reciprocity, global ecosystem, systems thinking","fellowships, cosultancy, projects","Bristol, UK",2016,present,Economics & Business,,,Consulting & Advisory,Education & Training,,4-10,https://www.bio-leadership.org/resources-1,,Andres Roberts (founder),,,,,,✅
